elapsed_s,connected,reconnects,last_frame_age_s,capture_fps,detection_fps,degraded,workers,det_frames,det_exceptions,det_avg_latency,rec_identified,rec_exceptions
2.1,True,0,0.039,15.21,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",197,0,0.0474,0,0
24.1,True,0,0.04,14.78,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",350,0,0.0414,0,0
46.2,True,0,0.014,14.83,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",536,0,0.0478,0,0
68.2,True,0,0.029,15.15,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",715,0,0.0407,0,0
90.3,True,0,0.078,14.85,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",899,0,0.0467,0,0
112.3,True,0,0.012,15.17,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1078,0,0.0565,0,0
134.4,True,0,0.01,14.8,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1257,0,0.0465,0,0
156.4,True,0,0.062,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1438,0,0.0482,0,0
178.4,True,0,0.057,14.9,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1619,0,0.0462,0,0
200.4,True,0,0.016,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1794,0,0.0438,0,0
222.5,True,0,0.015,15.17,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",1974,0,0.0387,0,0
244.5,True,0,0.064,14.92,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",2153,0,0.0416,0,0
266.6,True,0,0.094,14.89,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",2337,0,0.0465,0,0
288.6,True,0,0.068,15.1,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",2516,0,0.047,0,0
310.7,True,0,0.061,15.23,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",2694,0,0.0486,0,0
332.7,True,0,0.045,14.63,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",2880,0,0.0489,0,0
354.8,True,0,0.057,15.17,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3065,0,0.0536,0,0
376.8,True,0,0.062,14.99,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3244,0,0.0442,0,0
398.8,True,0,0.036,15.53,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3425,0,0.0452,0,0
420.8,True,0,0.027,14.84,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3606,0,0.0479,0,0
442.9,True,0,0.041,14.64,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3787,0,0.0468,0,0
464.9,True,0,0.08,15.04,12.0,False,"{""capture"": ""running"", ""detector"": ""running"", ""streaming"": ""running"", ""recording"": ""running"", ""recognition"": ""running""}",3967,0,0.0455,0,0
